Answer1: 6’2/9
Answer2: 1’1/9
Answer3: 7
Answer4: 10’3/7
Answer5: 8
Answer6: 2/3
Answer7: 5
Answer8: 6’2/3
Answer9: 9
Answer10: 2’1/2
Answer11: 3/10
Answer12: 18
Answer13: 19
Answer14: 12
Answer15: 1
Answer16: 32
Answer17: 14
Answer18: 12
Answer19: 4’6/7
Answer20: 21
Answer21: 63
Answer22: 1/89
Answer23: 560
Answer24: 2’2/3
Answer25: 11
Answer26: 13
Answer27: 3
Answer28: 5’3/4
Answer29: 4’4/7
Answer30: 12
Answer31: 2/9
Answer32: 47
Answer33: 4
Answer34: 10
Answer35: 48
Answer36: 588
Answer37: 288
Answer38: 14
Answer39: 5
Answer40: 1’1/4
Answer41: 25
Answer42: 1/2
Answer43: 7/13
Answer44: 3’1/2
Answer45: 40
Answer46: 1
Answer47: 392
Answer48: 55
Answer49: 12
Answer50: 17
Answer51: 1
Answer52: 69
Answer53: 5
Answer54: 70
Answer55: 40
Answer56: 27/35
Answer57: 472
Answer58: 2’1/2
Answer59: 12
Answer60: 22
Answer61: 2
Answer62: 14
Answer63: 16
Answer64: 2
Answer65: 2
Answer66: 5’3/50
Answer67: 162
Answer68: 13
Answer69: 8/81
Answer70: 3’1/3
Answer71: 1’31/49
Answer72: 122
Answer73: 5
Answer74: 9
Answer75: 1
Answer76: 3
Answer77: 3/100
Answer78: 40
Answer79: 1
Answer80: 13
Answer81: 1/7
Answer82: 50
Answer83: 1/2
Answer84: 40
Answer85: 4
Answer86: 14
Answer87: 14
Answer88: 77
Answer89: 48
Answer90: 30
Answer91: 11
Answer92: 72
Answer93: 25
Answer94: 9’6/7
Answer95: 4/5
Answer96: 6
Answer97: 224
Answer98: 13
Answer99: 14
Answer100: 10
Answer101: 7
Answer102: 2’1/3
Answer103: 27
Answer104: 12
Answer105: 42
Answer106: 2’4/7
Answer107: 7
Answer108: 1/10
Answer109: 6
Answer110: 4’4/5
Answer111: 4
Answer112: 2’5/7
Answer113: 32’2/3
Answer114: 13
Answer115: 26’2/3
Answer116: 5
Answer117: 2’1/2
Answer118: 320
Answer119: 47
Answer120: 6/7
Answer121: 3’3/5
Answer122: 7
Answer123: 4
Answer124: 45
Answer125: 11
Answer126: 19
Answer127: 27
Answer128: 1’1/5
Answer129: 35
Answer130: 5’1/3
Answer131: 2
Answer132: 42
Answer133: 5
Answer134: 15’3/7
Answer135: 6
Answer136: 1/2
Answer137: 289
Answer138: 16
Answer139: 40
Answer140: 3’1/9
Answer141: 160
Answer142: 12
Answer143: 50
Answer144: 12
Answer145: 9
Answer146: 37
Answer147: 10
Answer148: 210
Answer149: 19
Answer150: 106
Answer151: 20
Answer152: 2
Answer153: 10
Answer154: 14
Answer155: 4’2/3
Answer156: 7
Answer157: 8’9/10
Answer158: 9/40
Answer159: 12
Answer160: 11
Answer161: 6
Answer162: 14’2/7
Answer163: 6
Answer164: 64
Answer165: 108
Answer166: 9
Answer167: 1’1/3
Answer168: 2
Answer169: 20
Answer170: 9’1/3
Answer171: 56
Answer172: 7
Answer173: 328
Answer174: 17
Answer175: 4’5/16
Answer176: 8
Answer177: 78
Answer178: 7
Answer179: 1/2
Answer180: 1
Answer181: 60
Answer182: 11
Answer183: 1’1/4
Answer184: 12
Answer185: 9
Answer186: 3/8
Answer187: 131
Answer188: 28
Answer189: 200
Answer190: 1’1/3
Answer191: 72
Answer192: 33
Answer193: 14
Answer194: 70
Answer195: 9
Answer196: 3
Answer197: 13
Answer198: 5
Answer199: 6
Answer200: 10
Answer201: 84
Answer202: 14’2/3
Answer203: 20
Answer204: 25
Answer205: 3/5
Answer206: 80
Answer207: 64
Answer208: 1/7
Answer209: 15
Answer210: 1
Answer211: 3/20
Answer212: 2’2/5
Answer213: 9’4/5
Answer214: 56
Answer215: 4
Answer216: 4’2/7
Answer217: 1’1/2
Answer218: 22
Answer219: 7/20
Answer220: 6
Answer221: 3
Answer222: 6
Answer223: 11
Answer224: 4
Answer225: 3
Answer226: 10
Answer227: 19’3/7
Answer228: 1/60
Answer229: 4/9
Answer230: 12
Answer231: 9
Answer232: 11
Answer233: 10
Answer234: 6
Answer235: 30
Answer236: 16
Answer237: 11
Answer238: 1/15
Answer239: 105
Answer240: 1
Answer241: 13
Answer242: 14
Answer243: 17
Answer244: 1’3/7
Answer245: 7
Answer246: 36
Answer247: 8
Answer248: 5’1/4
Answer249: 1’3/4
Answer250: 7/15
Answer251: 15
Answer252: 300
Answer253: 72
Answer254: 11
Answer255: 8
Answer256: 2/3
Answer257: 4
Answer258: 48
Answer259: 3
Answer260: 13
Answer261: 1
Answer262: 2
Answer263: 28
Answer264: 16’4/5
Answer265: 7
Answer266: 9
Answer267: 1/10
Answer268: 8
Answer269: 540
Answer270: 4’1/2
Answer271: 12
Answer272: 3/35
Answer273: 48
Answer274: 6’3/10
Answer275: 8
Answer276: 3/10
Answer277: 27
Answer278: 9
Answer279: 3
Answer280: 36
